text,emotion
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. ,Very Sad
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,Very Sad
your attitude looks like autistics child,Very Sad
going to shower because i don`t want to smell at school tomorrow,Happy
Do you know sign languages,Neutral
 Since the demise of Woolworths it isn`t easy to find reasonably priced pick n mix anywhere,Neutral
may the fourth be with you! happy star wars day,Very Happy
just got home from work,Very Sad
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,Neutral
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,Very Happy
 it was only once for my big brother,Neutral
good news: finally finished my bachelor degree,Happy
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",Very Happy
"yesterday I'm watch a movie, that’s was really motivated for me",Very Happy
  hope he is ok!,Neutral
can`t school just be done already? it hurts too much... seeing him every day,Sad
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",Sad
 Hell Yeah!,Very Happy
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,Very Sad
 i know!!,Very Happy
 Smelly? Noooo. I love alex Vixon,Very Happy
"Went to a party last night. GREAT MINDS THINK ALIKE  Anyway, happy birthday",Very Happy
" Happy birthday! Just woke up on this side of Earth, so wishes are bit late",Very Happy
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",Very Happy
HAPPY MOTHERS DAY.!,Very Happy
" laughs I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",Very Happy
  Thanks,Very Happy
twittering after 2 days!,Very Sad
Getting ready for week  Its too nice today to be stuck inside working!,Neutral
I am tres depressed,Very Sad
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",Very Sad
Happy Mothers Day people. i love my mom a lot still,Very Happy
 I`m sorry to hear that.,Very Sad
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",Very Happy
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",Happy
Is getting the hang of Twitter.,Very Happy
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,Very Sad
I want it BACK NOW!,Very Happy
Going to miss my roomie ... We will no longer be roomies starting tomorrow,Very Sad
"bathing with two little angels, Keyla and Janice.",Happy
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",Sad
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,Very Happy
"Family is here,hanging with them",Very Happy
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,Very Happy
 what`s goin on hun?  I`m worried about you,Very Sad
 Im not bannished... but I am at work till 6,Neutral
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",Very Happy
Grabbing coffee from  then making mom breakfast,Very Happy
im thinking that im going to have fun tonight....and maybe some changes are coming,Neutral
Grabbing coffee from  then making mom breakfast,Very Happy
im thinking that im going to have fun tonight....and maybe some changes are coming,Neutral
 thanks. before the major chop.,Very Happy
" Haha I know, I cant handle the fame!  and thank you!",Very Happy
just got up and updated my ipod,Very Happy
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,Very Sad
 We never miss ICarly - my son has a huge crush on Miranda,Very Happy
Saw James carville in the store today. His head is really that bald,Sad
I love blue and programming,Very Happy
 which means you`re just going to have to come back to vancouver and have it our way! hahah,Very Happy
Feeling smooth like chrome,Very Happy
Errors are red but my life is looks like blue film,Very Sad
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",Very Sad
"Errors are red but my life is blue, I love rose and your lips baby",Very Happy
 Sounds like me,Very Happy
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,Very Sad
Walking to class. I hate not having a bike....especially mine.,Very Happy
sounds good,Happy
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",Very Sad
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",Very Happy
happy mother`s day to all the mothers in the world.,Very Happy
"I've got a fever, can you chcek, a good song, I'm listening this song everytime",Very Happy
Fun night! Listened through the next episode of this turkey drama,Very Happy
The exception for a short dude: Larenz fineass Tate yum,Happy
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",Sad
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",Very Sad
 Yes i work 6 to 3...,Very Happy
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",Neutral
Done at the spa   now meeting vic for some late lunch!,Happy
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,Very Happy
 Always have wanted to go to Oz,Very Happy
 Thx,Very Happy
I love this youtube tutorial,Very Happy
  that`s why I need to be there...To represent the Blackberries,Happy
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,Neutral
 If only we could ever actually be allowed to stay here and do that,Very Happy
 Let me know how that turns out!!,Very Happy
 was that sass I detect?  As long as it isn`t back sass! Haha,Very Sad
" yeah I was thinking about that ,ahaha",Very Sad
 Dont know whether that helps. Google it to know more,Neutral
I`m not sleeping at all until  accepts my appology,Very Sad
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",Very Sad
" I live for pain, bring it on",Very Happy
"okay, i`m out for a while  back later!",Neutral
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,Very Happy
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,Very Sad
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,Very Sad
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",Very Sad
going to shower because i don`t want to smell at school tomorrow,Happy
 Sigh... you know I am...,Sad
"discovered cause of a bug in the new  4 build. Publishing bug fix now, hopefully new beta by tomorrow",Very Sad
Here are 4 FREE notebooks to know machine learning well,Very Happy
just got home from work.... and is chugging down a big bottle of apple juice.,Very Sad
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,Neutral
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,Very Happy
 it was only once for my big brother...and I`m done now,Very Happy
good news: finally finished my workout that has been paused for 6 hours. bad news: my resistance band is torn,Very Sad
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",Very Happy
FTSK and Mercy Mercedes were amazing tonight.. as always,Very Happy
  hope he is ok!,Neutral
can`t school just be done already? it hurts too much... seeing him every day,Sad
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",Sad
 Hell Yeah!,Very Happy
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,Very Sad
 i know!!,Very Happy
 huh what the ****? Smelly? Noooo. I love alex Vixon,Very Sad
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",Very Happy
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",Happy
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",Very Happy
HAPPY MOTHERS DAY.!,Very Happy
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",Happy
  Thanks,Very Happy
twittering after 2 days!,Very Sad
Getting ready for week  Its too nice today to be stuck inside working!,Neutral
I am tres depressed,Very Sad
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",Very Sad
Happy Mothers Day people. i love my mom a lot still,Very Happy
 I`m sorry to hear that.,Very Sad
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",Very Happy
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",Happy
Is getting the hang of Twitter.,Very Happy
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,Very Sad
I want it BACK NOW!,Very Happy
Going to miss my roomie ... We will no longer be roomies starting tomorrow,Very Sad
"bathing with two little angels, Keyla and Janice.",Happy
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",Sad
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,Very Happy
"Family is here,hanging with them",Very Happy
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,Very Happy
 what`s goin on hun?  I`m worried about you,Very Sad
 Im not bannished... but I am at work till 6,Neutral
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",Very Happy
" red top tabloids, build em up, knock em down",Very Happy
tonight in party w/ my girls (minus vita),Very Happy
  why not now you made me sad I thought you`d be jumping for joy,Very Sad
 Simple my,Very Happy
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",Very Happy
" I saw the play of it here, it was amazing",Very Happy
i am glad to break my twitter virginity with you two.,Very Sad
Dinner with the fam... I have missed them,Sad
"Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",Happy
Hell yeah Kellynn got a Twitter. Finally.,Very Happy
" I know   It was worth a shot, though!",Neutral
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",Neutral
Ship. I`m stuck.,Very Sad
DUSTBIN BABY ON AT 11.30 Cannot wait  x,Very Sad
" Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",Very Sad
whats the day going on,Very Happy
It looks like the office TV DOES get MLB Network,Happy
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,Very Sad
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,Very Sad
today is a busy day. exhausting!,Very Happy
" I was going to go on Sunday, but now I`ve got too much going on that weekend",Neutral
 Sorry to hear ur flight got cancelled  that blows!!!,Very Sad
ohh my tooth is hurts ohh  im sad it very hurts,Very Sad
"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",Very Happy
 u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,Very Sad
 Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,Sad
sore throat. Planning the TET outing to Marwell though...good times,Neutral
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,Neutral
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,Sad
 There!,Very Happy
?sucks!?..,Very Sad
 whens the sway sway winner announced?,Very Sad
 K will check it out...,Neutral
" doing pretty well, up and wide awake",Happy
"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",Neutral
I Miss Daddy and Mommy,Neutral
"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",Very Sad
I just realized that I can`t forward text msgs with my iPhone.,Very Sad
"My frist post... Off to find a new car for my parents, exciting!",Very Happy
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,Very Sad
seriously bored without anyone to talk to... but not tired enough for sleep,Very Sad
 I am lost. Please help me find a good home.,Neutral
"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",Very Sad
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,Neutral
 LMAO... Smh!  that one threw me off.,Very Sad
 oh nice going!,Very Happy
Is getting ready for work... Working all weekend,Very Happy
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,Neutral
 i agree with you!,Very Happy
 I only do computers. Am hopeless at everything else,Very Sad
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",Very Happy
_2nd aww thanks!,Very Happy
 Sorry RB is on PS3 for me,Very Sad
I saw amazing heeels. But they were too big,Neutral
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,Sad
dang last url went down  ? http://blip.fm/~7aigm,Very Sad
" ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",Very Sad
 Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,Very Sad
 my boss. She`s moving to NYC,Very Happy
this is sooo crazy i have fever..,Very Sad
is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,Very Sad
I think i need some new friends,Neutral
 Looking forward to your gig in Ireland!!!  See ya there!,Very Happy
I' watching a movie name Adimurie,Very Sad
aww  you loooove me,Very Sad
"is hungry, twitter.  i want food.",Very Sad
awesome lucky you,Very Happy
" yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha",Very Sad
" haha im jewish, i love that one",Very Happy
"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",Neutral
 l`m on 3 days too matt. No fun this weekend.,Very Sad
 u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,Very Sad
 I feel your pain. Mine is the same way,Very Happy
comes home in two days,Very Happy
 Sadly no. It didn`t come with one...,Very Sad
Cant wait to see my boy tomorrow,Very Happy
 ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,Sad
 aww I miss driving down elmwood,Neutral
Omg Wango Tango was **** AWSOME! I love my baby for taking me,Very Happy
"Version 2 of our live, interactive Trans-Siberian ticket planner is launched",Very Happy
_30439 I really wish I could go!,Very Sad
" yeah real hard, but I know you`ll get by with it... smile",Neutral
 I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,Very Sad
  This has made my night!!  Way too funny!!,Very Happy
Woo CAVS.  Happy Mother`s Day!,Very Happy
 I make that same face when I get home and your mom is watching soaps.,Very Sad
I have to go to work now.,Neutral
 I can`t believe you went and got boba without me.,Very Sad
"  And to you too, how are you today?",Very Happy
 Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,Very Happy
19 days and counting,Very Sad
 sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,Very Sad
BRAINFREEZE,Very Sad
Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,Sad
"My sunburn is peeling,",Sad
perky purple nail polish isn`t as perky when its chipped,Neutral
"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",Very Sad
Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,Very Sad
I hate the dentist,Very Sad
" nothing aimed at you, just joining in...sorry",Very Sad
I`m taking a twitter break. Cell is dying,Very Sad
 qood morninq,Very Sad
writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,Very Happy
needs more followers,Neutral
I wish I could get my nails done  stupid job,Very Sad
The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,Neutral
 the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,Sad
 Have a good one,Happy
" yep infact she is popular, miss india 99, talented film actress .... and lot more",Very Sad
Dosen`t Want To Go To Work Tomorrow,Very Sad
Daniel has won DSDS. His voice is great.,Very Happy
I need blood O negative,Very Sad
was hoping to go to Red Lobster this weekend,Neutral
_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,Very Sad
I sure do hope it becomes 4:20 this afternoon ...,Neutral
 it means that you are now FAMOUS. Congrats!,Very Happy
My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,Very Sad
"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",Very Happy
tamlyn wishes she was as cool as my sock draw,Happy
 so no rice or crusty bread with the chili .... aawww,Sad
"  We are of like minds this evening , my dear!",Very Happy
come and save me from my packing please?!,Very Sad
"Yes, I love tea. If that makes me typically English then so be it",Very Happy
 a mouth for sure,Happy
_dec0de I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,Neutral
 pancakes!! with lemon and sugar thanks!,Very Happy
" Si, no bueno  I guess I just don`t entertain him ",Sad
I`m so hunrgy right now and these heels kill me I can hardly walk in them,Very Sad
both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,Very Sad
" Yay, three followers! Good to know more than one person in this big wide world likes fishies.",Very Happy
'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,Very Sad
Goodmorning,Very Happy
Took a shift tomorrow.    I don`t really feel like working right now.,Neutral
" I love mine, too . happy motherÃ¯Â¿Â½s day to your mom , John Taylor  . much love to you, too .",Very Happy
Saw a black snake in the garden.  Went back for a picture and it was gone,Very Sad
http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,Very Happy
No waterfront anymore   faccia luna and clarendon will have to do,Very Sad
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,Very Happy
Slipped up and caught the flu  feeling like poop!,Very Sad
"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",Very Sad
Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,Neutral
Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.,Very Sad
"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has",Sad
" If u do, please pray 4 me.  Lord knows I need it.",Very Happy
aaaaaw i want to live in the USA,Very Happy
Morning tweeple,Neutral
" Hey, I didn`t get any !!!",Very Sad
 Now you only have 2 hours to sleep...  - Rest if you need it.,Neutral
"  That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",Very Happy
I don`t want to sit at home on prom night. Someone hang out with me,Very Sad
Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,Neutral
concert tonight  chackin out and not coming tomorrow!,Very Sad
 what happened? I thought you were coming back today....,Very Sad
 lol dammit  well then next time then,Sad
 lol. just don`t ever forget me,Very Happy
 Still jealous,Very Sad
Me at Forever 21  Ethan couldn`t be there,Very Happy
NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,Very Sad
this week of mine was not easy!  but finally it`s over! (:,Sad
   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,Very Happy
In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,Happy
" 'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....",Neutral
"just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!",Very Sad
 but you always have lee. Let`s go to Paris,Neutral
 you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!,Very Happy
cooking with my dad  having lots of fun in the kitchen together,Very Happy
Bouncing Rush makes me feel nauseous,Very Sad
Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,Very Happy
playing singstar without my fave duetter,Happy
"  you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.",Very Happy
" That`s just weird... :\  Oh, and what was it you were drawing for me?",Very Sad
Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter,Very Sad
"The birds are out,, oh man... That`s NOT cool && I didn`t sleep yet for the night!!!",Very Sad
"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps.",Neutral
"My Street Fighter IV skills are lacking, can`t beat Seth on easy.",Sad
 FIL 461 with cool people like me,Very Happy
Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,Very Happy
 i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.,Neutral
my son got stung by a bug for the first time  his little finger is slightly swollen.,Sad
 it was hours ago i came in.... and it`s only now i realised when i went to buy something online,Neutral
 oh just referring to our lil exchange on LJ with regards to twitter archive postings.,Very Sad
Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.,Very Sad
